date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-02-17,sh.603939,28.04,28.04,28.04,28.04,42862.0,1201850.0,3,0.107155,1,44.01645,31.917769,7.599124000000001,2.011635,378.396024,0.0
2015-02-25,sh.603939,30.84,30.84,30.84,30.84,21600.0,666144.0,3,0.054,1,9.9857,35.104992,8.357952000000001,2.212512,416.181647,0.0
2015-02-26,sh.603939,33.92,33.92,33.92,33.92,21000.0,712320.0,3,0.0525,1,9.987,38.610938,9.192663,2.433476,457.745832,0.0
2015-02-27,sh.603939,37.31,37.31,37.31,37.31,72600.0,2708706.0,3,0.1815,1,9.9941,42.469756,10.111387,2.67668,503.493426,0.0
2015-03-02,sh.603939,41.04,41.04,41.04,41.04,391499.0,16067119.0,3,0.978747,1,9.9973,46.715593,11.122255,2.944276,553.829274,0.0
2015-03-03,sh.603939,45.14,45.14,40.0,45.14,25238758.0,1099504128.0,3,63.096895,1,9.9902,51.382599,12.233397,3.238417,609.158222,0.0
2015-03-04,sh.603939,43.21,49.5,42.46,48.19,19386331.0,879896224.0,3,48.465828,1,6.7568,54.854396,13.059977,3.457229,650.3175610000001,0.0
2015-03-05,sh.603939,49.78,53.01,49.0,53.01,14735515.0,753155648.0,3,36.838787,1,10.0021,60.340974,14.366246,3.803023000000001,715.362812,0.0
2015-03-06,sh.603939,52.0,52.8,49.66,50.09,13055347.0,663741536.0,3,32.638368,1,-5.5084,57.017155,13.574897,3.593538,675.957805,0.0
2015-03-09,sh.603939,49.35,49.49,46.51,48.24,7695673.0,370537136.0,3,19.239182,1,-3.6933,54.911311,13.073528,3.4608160000000003,650.992304,0.0
2015-03-10,sh.603939,48.0,49.47,47.21,49.29,6892756.0,334315104.0,3,17.23189,1,2.1766,56.10652,13.358089,3.536144,665.161913,0.0
2015-03-11,sh.603939,48.79,48.8,45.8,46.16,7979483.0,377379904.0,3,19.948708,1,-6.3502,52.543659,12.509827,3.311593,622.9229839999999,0.0
2015-03-12,sh.603939,45.96,46.52,43.29,44.85,9117272.0,406015952.0,3,22.79318,1,-2.838,51.052494,12.154804,3.217612,605.244711,0.0
2015-03-13,sh.603939,44.55,46.15,44.35,45.34,4678180.0,212138687.0,3,11.69545,1,1.0925,51.610258,12.287599,3.252765,611.857195,0.0
2015-03-16,sh.603939,46.0,48.35,45.5,47.15,7240511.0,341524528.0,3,18.101277,1,3.9921,53.67057,12.778127,3.382617,636.2829009999999,0.0
2015-03-17,sh.603939,46.91,47.4,45.8,46.31,5349504.0,247941876.0,3,13.37376,1,-1.7815,52.714403,12.550478,3.3223540000000003,624.9472139999999,0.0
2015-03-18,sh.603939,46.4,47.19,46.2,46.51,5990705.0,279155392.0,3,14.976762,1,0.4319,52.942062,12.60468,3.336703,627.646187,0.0
2015-03-19,sh.603939,46.43,48.0,46.43,47.63,5598147.0,264883527.0,3,13.995368,1,2.4081,54.216952,12.908212,3.417053,642.760436,0.0
2015-03-20,sh.603939,47.86,48.39,47.05,48.05,5460787.0,260739683.0,3,13.651968,1,0.8818,54.695035,13.022036,3.447185,648.42828,0.0
2015-03-23,sh.603939,48.6,51.65,47.8,51.01,6653806.0,328323776.0,3,16.634515,1,6.1602,58.064386,13.824226,3.65954,688.373081,0.0
2015-03-24,sh.603939,50.81,50.81,48.0,49.18,5541166.0,273686432.0,3,13.852915,1,-3.5875,55.981308,13.328276999999998,3.528253,663.6774780000001,0.0
2015-03-25,sh.603939,49.21,51.51,49.11,50.8,5898959.0,298310464.0,3,14.747397,1,3.294,57.825344,13.767314,3.644474,685.539159,0.0
2015-03-26,sh.603939,49.95,52.99,48.51,50.2,4872579.0,247014660.0,3,12.181448,1,-1.1811,57.142368000000005,13.604708,3.601429,677.4422400000001,0.0
2015-03-27,sh.603939,50.6,55.22,50.6,55.22,7040138.0,376461504.0,3,17.600345,1,10.0,62.856604,14.965179,3.961572,745.186464,0.0
2015-03-30,sh.603939,55.6,56.2,53.41,54.55,6859124.0,374891120.0,3,17.14781,1,-1.2133,62.093947,14.783601999999998,3.913505,736.144904,0.0
2015-03-31,sh.603939,53.8,54.9,53.04,53.9,3779324.0,203968357.0,3,9.44831,1,-1.1916,61.35405600000001,14.607445000000002,3.866873,727.373242,0.0
2015-04-01,sh.603939,53.9,55.16,53.57,54.72,2899388.0,157505428.0,3,7.248469999999999,1,1.5213,62.287457,14.829674,3.925701,738.439032,0.0
2015-04-02,sh.603939,56.1,58.61,55.42,56.26,4991534.0,283740496.0,3,12.478835,1,2.8143,64.04043,15.247029,4.036184,759.221124,0.0
2015-04-03,sh.603939,55.0,58.5,54.0,56.34,3922392.0,220208917.0,3,9.80598,1,0.1422,64.13149399999999,15.26871,4.041923000000001,760.300713,0.0
2015-04-07,sh.603939,57.3,61.97,56.4,61.97,7552778.0,458758848.0,3,18.881945,1,9.9929,70.54009,16.794497,4.445828,836.276805,0.0
